Timestamp, Truthstatus, questionStatus, Left pupil_Diameter_mm, Right pupil_diameter_mm
152856, truthful, baseline, 3.263351, 3.492538
152864, truthful, baseline, 3.289124, 3.556915
152873, truthful, baseline, 3.189346, 3.556091
152881, truthful, baseline, 3.358841, 3.584778
152898, truthful, baseline, 3.307526, 3.640152
152906, truthful, baseline, 3.304977, 3.645813
152914, truthful, baseline, 3.304214, 3.620438
152931, truthful, baseline, 3.311234, 3.604568
152939, truthful, baseline, 3.304688, 3.603882
152948, truthful, baseline, 3.313171, 3.604416
152964, truthful, baseline, 3.325195, 3.604675
152973, truthful, baseline, 3.388412, 3.605881
152981, truthful, baseline, 3.365402, 3.604111
152998, truthful, baseline, 3.360611, 3.603119
153006, truthful, baseline, 3.270111, 3.605484
153014, truthful, baseline, 3.296371, 3.581345
153031, truthful, baseline, 3.373764, 3.590485
153039, truthful, baseline, 3.494766, 3.566086
153048, truthful, baseline, 3.428467, 3.508392
153064, truthful, baseline, 3.341125, 3.573395
153073, truthful, baseline, 3.490433, 3.666489
153081, truthful, baseline, 3.404312, 3.569458
153098, truthful, baseline, 3.393631, 3.556122
153106, truthful, baseline, 3.406281, 3.642746
153114, truthful, baseline, 3.407104, 3.567841
153131, truthful, baseline, 3.407822, 3.614319
153139, truthful, baseline, 3.408508, 3.611145
153148, truthful, baseline, 3.409958, 3.613937
153164, truthful, baseline, 3.417603, 3.597076
153173, truthful, baseline, 3.425262, 3.588959
153181, truthful, baseline, 3.459122, 3.590546
153198, truthful, baseline, 3.493423, 3.598923
153206, truthful, baseline, 3.406921, 3.60553
153214, truthful, baseline, 3.473602, 3.605286
153231, truthful, baseline, 3.47168, 3.604065
153239, truthful, baseline, 3.433151, 3.604233
153248, truthful, baseline, 3.420029, 3.53334
153264, truthful, baseline, 3.365814, 3.539627
153273, truthful, baseline, 3.378677, 3.552567
153281, truthful, baseline, 3.365707, 3.522217
153298, truthful, baseline, 3.299042, 3.467133
153306, truthful, baseline, 3.359375, 3.553909
153314, truthful, baseline, 3.292755, 3.570969
153331, truthful, baseline, 3.398712, 3.503693
153339, truthful, baseline, 3.244354, 3.551819
153356, truthful, baseline, 3.349701, 3.472946
153364, truthful, baseline, 3.368469, 3.508087
153373, truthful, baseline, 3.401703, 3.512054
