Timestamp, Frame Sequence, Truthstatus, Left Eye gaze origin x, Left Eye gaze origin y, Left Eye gaze origin z, Left eye gaze direction normalized x, Left eye gaze direction normalized y, Left eye gaze direction normalized z, left pupil diameter mm, left eye openness, Right Eye gaze origin x, Right Eye gaze origin y, Right Eye gaze origin z, Right eye gaze direction normalized x, Right eye gaze direction normalized y, Right eye gaze direction normalized z, right pupil diameter mm, right eye openness
207811, 64141, truthful, baseline, 32.65414, 2.576416, -35.34459, -0.2187195, 0.0712738, 0.973175, 3.110733, 1, -33.85703, 0.184845, -34.14536, -0.2146454, 0.1059723, 0.9709167, 3.610809, 1
207819, 64142, truthful, baseline, 32.57492, 2.555038, -35.34918, -0.2152557, 0.06710815, 0.9742432, 3.112106, 1, -33.79446, 0.2060547, -34.10822, -0.1977234, 0.0994873, 0.9751892, 3.622498, 1
207819, 64142, truthful, baseline, 32.57492, 2.555038, -35.34918, -0.2152557, 0.06710815, 0.9742432, 3.112106, 1, -33.79446, 0.2060547, -34.10822, -0.1977234, 0.0994873, 0.9751892, 3.622498, 1
207836, 64144, truthful, baseline, 32.38268, 2.706528, -35.37991, 0, 0, 0, -1, 0.7417524, -33.23409, -0.5836487, -33.78825, 0, 0, 0, -1, 0.7454342
207844, 64145, truthful, baseline, 32.58424, 6.688538, -52.73743, 0, 0, 0, -1, 0.7417524, -33.67442, -1.367218, -34.06993, 0, 0, 0, -1, 0.7454342
207861, 64147, truthful, baseline, 32.47542, 0.8427887, -35.43669, 0, 0, 0, -1, 0.441273, -33.67442, -1.367218, -34.06993, 0, 0, 0, -1, 0.5372781
207869, 64148, truthful, baseline, 32.47542, 0.8427887, -35.43669, 0, 0, 0, -1, 0.1181939, -33.67442, -1.367218, -34.06993, 0, 0, 0, -1, 0.2940063
207878, 64149, truthful, baseline, 32.47542, 0.8427887, -35.43669, 0, 0, 0, -1, 0.1181939, -33.67442, -1.367218, -34.06993, 0, 0, 0, -1, 0.2940063
207894, 64151, truthful, baseline, 33.86926, 1.304337, -35.32086, 0, 0, 0, -1, 0, -33.67442, -1.367218, -34.06993, 0, 0, 0, -1, 0.2508986
207903, 64152, truthful, baseline, 33.02289, -0.2331696, -35.13194, 0, 0, 0, -1, 0.0416608, -33.67442, -1.367218, -34.06993, 0, 0, 0, -1, 0.2931834
