Timestamp, Frame Sequence, Truthstatus, Left Eye gaze origin x, Left Eye gaze origin y, Left Eye gaze origin z, Left eye gaze direction normalized x, Left eye gaze direction normalized y, Left eye gaze direction normalized z, left pupil diameter mm, left eye openness, Right Eye gaze origin x, Right Eye gaze origin y, Right Eye gaze origin z, Right eye gaze direction normalized x, Right eye gaze direction normalized y, Right eye gaze direction normalized z, right pupil diameter mm, right eye openness
304790, 75781, truthful, baseline, 34.00929, 1.87117, -33.91603, 0.05528259, -0.5106049, 0.858017, 2.905716, 0.4879644, -31.20551, -1.715851, -33.32251, 0.1724243, -0.5149536, 0.8396759, 3.268173, 0.7819844
304790, 75781, truthful, baseline, 34.00929, 1.87117, -33.91603, 0.05528259, -0.5106049, 0.858017, 2.905716, 0.4879644, -31.20551, -1.715851, -33.32251, 0.1724243, -0.5149536, 0.8396759, 3.268173, 0.7819844
304798, 75782, truthful, baseline, 34.00952, 1.87117, -33.91603, 0.05448914, -0.5106964, 0.8580322, 2.90271, 0.5088919, -31.20551, -1.715851, -33.32251, 0.1723785, -0.5151672, 0.8395691, 3.262497, 0.7811015
304815, 75784, truthful, baseline, 34.00952, 1.87117, -33.91603, 0.05451965, -0.5111084, 0.8577728, 2.891479, 0.5049622, -31.20551, -1.715851, -33.32251, 0.1715546, -0.5151978, 0.8397064, 3.262573, 0.7802522
304823, 75785, truthful, baseline, 34.00929, 1.87117, -33.91603, 0.05447388, -0.5135498, 0.8563232, 2.902557, 0.5049622, -31.20551, -1.7211, -33.32253, 0.1710968, -0.5148773, 0.8399963, 3.280777, 0.7802522
304831, 75786, truthful, baseline, 34.00871, 1.866364, -33.91702, 0.05531311, -0.5128784, 0.8566589, 2.914932, 0.5070084, -31.20551, -1.727188, -33.3231, 0.1710968, -0.5139771, 0.8405457, 3.280624, 0.7928943
304840, 75787, truthful, baseline, 34.00763, 1.862167, -33.91882, 0.05470276, -0.5148621, 0.8555145, 2.918182, 0.5070084, -31.20551, -1.731171, -33.3231, 0.1711121, -0.5132904, 0.8409729, 3.282227, 0.7928943
304856, 75789, truthful, baseline, 34.00703, 1.858597, -33.91945, 0.05476379, -0.5143585, 0.8558197, 2.933502, 0.5060128, -31.20737, -1.731171, -33.3231, 0.1714172, -0.5145416, 0.8401489, 3.280212, 0.780153
304865, 75790, truthful, baseline, 34.00635, 1.858597, -33.92072, 0.05566406, -0.5142517, 0.8558197, 2.933502, 0.5046002, -31.20824, -1.731171, -33.3231, 0.1712646, -0.5144806, 0.84021, 3.250885, 0.7813619
304881, 75792, truthful, baseline, 33.99907, 1.858215, -33.92619, 0.05612183, -0.5138702, 0.8560181, 2.936722, 0.4965023, -31.21315, -1.731171, -33.3231, 0.1721497, -0.5145111, 0.8400116, 3.250961, 0.7987666
