Timestamp, Truthstatus, questionStatus, Left pupil_Diameter_mm, Right pupil_diameter_mm
373608, truthful, baseline, 3.078049, 3.306091
373616, truthful, baseline, 2.995712, 3.20462
373625, truthful, baseline, 3.067795, 3.169815
373641, truthful, baseline, 3.015244, 3.139923
373650, truthful, baseline, 3.02507, 3.221603
373658, truthful, baseline, 3.015457, 3.109238
373675, truthful, baseline, 3.00882, 3.167938
373683, truthful, baseline, 3.012436, 3.225708
373691, truthful, baseline, 3.010834, 3.188339
373708, truthful, baseline, 3.01239, 3.189148
373716, truthful, baseline, 3.011154, 3.127625
373725, truthful, baseline, 3.013443, 3.109497
373741, truthful, baseline, 3.013733, 2.98732
373750, truthful, baseline, 3.013153, 3.041885
373758, truthful, baseline, 3.013275, 3.133667
373775, truthful, baseline, 2.987045, 3.112564
373783, truthful, baseline, 2.965652, 3.115921
373791, truthful, baseline, 2.980438, 3.10228
373808, truthful, baseline, 2.955902, 3.077057
373816, truthful, baseline, 2.968201, 3.065063
373825, truthful, baseline, 2.956207, 3.077774
373841, truthful, baseline, 2.920105, 3.095871
373850, truthful, baseline, 2.938232, 3.08873
373858, truthful, baseline, 2.920074, 3.090561
373875, truthful, baseline, 2.920227, 3.074249
373883, truthful, baseline, 2.933975, 3.085968
373891, truthful, baseline, 2.919983, 3.062439
373908, truthful, baseline, 2.920929, 3.085846
373916, truthful, baseline, 2.921341, 3.09169
373925, truthful, baseline, 2.920624, 3.091446
373941, truthful, baseline, 2.919144, 3.090195
373950, truthful, baseline, 2.883438, 3.078339
373958, truthful, baseline, 2.897217, 3.070587
373975, truthful, baseline, 2.896729, 3.071365
373983, truthful, baseline, 2.916336, 3.038895
373991, truthful, baseline, 2.926605, 3.056549
374008, truthful, baseline, 2.918976, 3.083679
374016, truthful, baseline, 2.922455, 3.018723
374025, truthful, baseline, 2.868591, -1
374041, truthful, baseline, 2.936493, -1
374050, truthful, baseline, -1, -1
374066, truthful, baseline, -1, -1
374075, truthful, baseline, -1, -1
374083, truthful, baseline, -1, -1
374100, truthful, baseline, -1, -1
374108, truthful, baseline, -1, -1
374116, truthful, baseline, -1, -1
