Timestamp, Frame Sequence, Truthstatus, Left Eye gaze origin x, Left Eye gaze origin y, Left Eye gaze origin z, Left eye gaze direction normalized x, Left eye gaze direction normalized y, Left eye gaze direction normalized z, left pupil diameter mm, left eye openness, Right Eye gaze origin x, Right Eye gaze origin y, Right Eye gaze origin z, Right eye gaze direction normalized x, Right eye gaze direction normalized y, Right eye gaze direction normalized z, right pupil diameter mm, right eye openness
1315367, 140130, truthful, baseline, 33.8179, 0.5939484, -38.13451, -0.01026917, -0.0539856, 0.9984741, 2.630219, 1, -30.44017, -0.8237457, -35.68642, 0.009811401, -0.0688324, 0.9975739, 2.848724, 1
1315375, 140131, truthful, baseline, 33.81812, 0.5974884, -38.14357, -0.01127625, -0.05444336, 0.9984436, 2.642456, 1, -30.44299, -0.8245697, -35.68272, 0.009674072, -0.06555176, 0.9977875, 2.806915, 1
1315384, 140132, truthful, baseline, 33.81833, 0.5939484, -38.13451, -0.01036072, -0.0539856, 0.9984741, 2.630203, 1, -30.44391, -0.8315887, -35.67119, 0.01011658, -0.06594849, 0.997757, 2.823944, 1
1315400, 140134, truthful, baseline, 33.81976, 0.5905151, -38.12273, -0.01171875, -0.05395508, 0.9984589, 2.630508, 1, -30.44569, -0.8379669, -35.66325, 0.01023865, -0.06706238, 0.9976807, 2.869827, 1
1315409, 140135, truthful, baseline, 33.81987, 0.5888672, -38.11902, -0.01144409, -0.05361938, 0.9984894, 2.637299, 1, -30.44656, -0.8386078, -35.65967, 0.009872437, -0.06837463, 0.9976044, 2.840652, 1
1315417, 140136, truthful, baseline, 33.81999, 0.5872192, -38.12273, -0.01112366, -0.05326843, 0.9985046, 2.6306, 1, -30.44669, -0.8652191, -35.55666, 0.009963989, -0.0703125, 0.997467, 2.860687, 1
1315433, 140138, truthful, baseline, 33.82219, 0.5872192, -38.12341, -0.01223755, -0.05328369, 0.9984894, 2.630493, 1, -30.44722, -0.8959961, -35.45177, 0.0100708, -0.07098389, 0.9974213, 2.881546, 1
1315442, 140139, truthful, baseline, 33.8223, 0.5852966, -38.12308, -0.01193237, -0.05329895, 0.9985046, 2.630035, 1, -30.44763, -0.9001465, -35.44987, 0.01008606, -0.07078552, 0.9974365, 2.882492, 1
1315450, 140140, truthful, baseline, 33.8224, 0.583374, -38.12273, -0.01167297, -0.05332947, 0.9985046, 2.6306, 1, -30.44801, -0.9020538, -35.44212, 0.01011658, -0.07089233, 0.9974213, 2.882004, 1
1315467, 140142, truthful, baseline, 33.82266, 0.5773773, -38.11964, -0.01170349, -0.05227661, 0.9985504, 2.629471, 1, -30.44934, -0.9020538, -35.44212, 0.01049805, -0.07093811, 0.9974213, 2.881744, 1
1315475, 140143, truthful, baseline, 33.823, 0.5773773, -38.11964, -0.01239014, -0.05296326, 0.9985046, 2.627411, 1, -30.45027, -0.9039764, -35.43436, 0.01060486, -0.0710144, 0.997406, 2.882294, 1
1315483, 140144, truthful, baseline, 33.82355, 0.5756989, -38.11899, -0.01251221, -0.0526886, 0.9985199, 2.629379, 1, -30.45045, -0.9113464, -35.40939, 0.01057434, -0.0710907, 0.997406, 2.882874, 1
1315500, 140146, truthful, baseline, 33.82407, 0.5736389, -38.10895, -0.0125885, -0.0528717, 0.9985199, 2.627609, 1, -30.45062, -0.9187622, -35.39127, 0.008178711, -0.06990051, 0.9975128, 2.88295, 1
1315508, 140147, truthful, baseline, 33.82426, 0.5684814, -38.0938, -0.01257324, -0.0531311, 0.9985046, 2.626007, 1, -30.4516, -0.9187622, -35.35422, 0.008270264, -0.07221985, 0.997345, 2.884216, 1
1315517, 140148, truthful, baseline, 33.82428, 0.5679779, -38.09378, -0.01197815, -0.05300903, 0.9985199, 2.626389, 1, -30.45291, -0.9200745, -35.34012, 0.007629395, -0.0725708, 0.9973297, 2.883621, 1
1315533, 140150, truthful, baseline, 33.82433, 0.5614471, -38.07538, -0.01193237, -0.05244446, 0.9985504, 2.626724, 1, -30.4548, -0.9187622, -35.33871, 0.007980347, -0.07284546, 0.9972992, 2.877106, 1
1315542, 140151, truthful, baseline, 33.82445, 0.5598907, -38.07509, -0.01290894, -0.05210876, 0.9985504, 2.628632, 1, -30.4548, -0.9187622, -35.33871, 0.007965088, -0.07240295, 0.9973297, 2.874023, 1
1315550, 140152, truthful, baseline, 33.82445, 0.5598907, -38.07509, -0.01202393, -0.05212402, 0.9985657, 2.628448, 1, -30.4548, -0.9187622, -35.33871, 0.007965088, -0.07240295, 0.9973297, 2.874023, 1
1315567, 140154, truthful, baseline, 33.82475, 0.5535583, -38.06483, -0.01290894, -0.0513916, 0.9985809, 2.622971, 1, -30.4548, -0.9145813, -35.33871, 0.007858276, -0.07119751, 0.9974213, 2.866623, 1
1315575, 140155, truthful, baseline, 33.82506, 0.5528259, -38.06, -0.01307678, -0.05163574, 0.9985657, 2.601318, 1, -30.4548, -0.9120789, -35.35205, 0.007873535, -0.07011414, 0.9974976, 2.866501, 1
1315583, 140156, truthful, baseline, 33.82475, 0.5526428, -38.05388, -0.01304626, -0.05168152, 0.9985657, 2.608505, 1, -30.45459, -0.9120789, -35.35205, 0.007781982, -0.06913757, 0.9975739, 2.866959, 1
1315600, 140158, truthful, baseline, 33.82445, 0.5526428, -38.05388, -0.01196289, -0.05157471, 0.9985962, 2.627365, 1, -30.45451, -0.9061432, -35.35469, 0.007781982, -0.06945801, 0.9975433, 2.858276, 1
1315608, 140159, truthful, baseline, 33.82445, 0.5520477, -38.04584, -0.01307678, -0.05226135, 0.9985352, 2.62735, 1, -30.45428, -0.902771, -35.37215, 0.007843018, -0.06900024, 0.9975739, 2.861389, 1
1315617, 140160, truthful, baseline, 33.82426, 0.5506439, -38.04318, -0.01193237, -0.05274963, 0.9985352, 2.631683, 1, -30.45425, -0.90065, -35.37773, 0.008071899, -0.06848145, 0.9976044, 2.861465, 1
1315633, 140162, truthful, baseline, 33.82205, 0.5397034, -38.02409, -0.01019287, -0.05099487, 0.998642, 2.632767, 1, -30.45374, -0.894455, -35.39331, 0.008010864, -0.06872559, 0.9975891, 2.864746, 1
1315642, 140163, truthful, baseline, 33.82065, 0.535614, -37.9386, -0.009628296, -0.05610657, 0.9983673, 2.625595, 1, -30.45341, -0.890625, -35.39703, 0.009490967, -0.06930542, 0.9975433, 2.864578, 1
1315650, 140164, truthful, baseline, 33.82048, 0.5342255, -37.93274, -0.009552002, -0.05714417, 0.9983063, 2.62532, 1, -30.45193, -0.8806458, -35.4267, 0.009216309, -0.06982422, 0.9975128, 2.863525, 1
1315667, 140166, truthful, baseline, 33.82048, 0.5301514, -37.91946, -0.00944519, -0.05722046, 0.9983063, 2.610016, 1, -30.45065, -0.8708649, -35.45177, 0.007995605, -0.07048035, 0.997467, 2.863052, 1
1315675, 140167, truthful, baseline, 33.82048, 0.5278473, -37.91946, -0.009414673, -0.05674744, 0.9983368, 2.605835, 1, -30.45065, -0.8708649, -35.45177, 0.008972168, -0.07049561, 0.997467, 2.862915, 1
1315683, 140168, truthful, baseline, 33.82048, 0.5270538, -37.91946, -0.00944519, -0.0569458, 0.9983215, 2.610062, 1, -30.45065, -0.8708344, -35.4547, 0.008972168, -0.07069397, 0.9974518, 2.862808, 1
1315700, 140170, truthful, baseline, 33.82048, 0.5241699, -37.91946, -0.009460449, -0.05780029, 0.9982758, 2.610062, 1, -30.45065, -0.8699799, -35.46141, 0.009902954, -0.07255554, 0.9973145, 2.861954, 1
1315708, 140171, truthful, baseline, 33.82065, 0.5231934, -37.91896, -0.0111084, -0.05860901, 0.9982147, 2.615372, 1, -30.45065, -0.8699799, -35.46509, 0.009902954, -0.0723114, 0.9973297, 2.862915, 1
1315717, 140172, truthful, baseline, 33.82109, 0.5230865, -37.91946, -0.01118469, -0.05860901, 0.9982147, 2.605286, 1, -30.45065, -0.8699799, -35.46716, 0.01000977, -0.07215881, 0.9973297, 2.86731, 1
1315733, 140174, truthful, baseline, 33.8214, 0.5227661, -37.91896, -0.01124573, -0.05860901, 0.9982147, 2.60405, 1, -30.45079, -0.8699493, -35.47078, 0.01004028, -0.07209778, 0.997345, 2.867233, 1
1315742, 140175, truthful, baseline, 33.8214, 0.5227661, -37.91896, -0.01124573, -0.05860901, 0.9982147, 2.60405, 1, -30.45131, -0.8699493, -35.47224, 0.01014709, -0.07228088, 0.9973297, 2.867081, 1
1315750, 140176, truthful, baseline, 33.8214, 0.5227051, -37.91994, -0.0111084, -0.05882263, 0.9981995, 2.584076, 1, -30.45161, -0.8699341, -35.47243, 0.01011658, -0.07229614, 0.9973297, 2.862366, 1
1315767, 140178, truthful, baseline, 33.8214, 0.5227661, -37.92152, -0.01167297, -0.059021, 0.9981842, 2.578552, 1, -30.45309, -0.8699341, -35.48375, 0.01036072, -0.07167053, 0.9973602, 2.848969, 1
1315775, 140179, truthful, baseline, 33.8214, 0.5227661, -37.92152, -0.01167297, -0.059021, 0.9981842, 2.578552, 1, -30.45367, -0.8699341, -35.48654, 0.01048279, -0.0718689, 0.997345, 2.848785, 1
1315792, 140181, truthful, baseline, 33.82115, 0.5222168, -37.92152, -0.01097107, -0.05853271, 0.9982147, 2.578827, 1, -30.45552, -0.8652496, -35.51228, 0.01089478, -0.07086182, 0.9974213, 2.848572, 1
1315800, 140182, truthful, baseline, 33.82111, 0.5210419, -37.92152, -0.01098633, -0.05825806, 0.99823, 2.581512, 1, -30.45616, -0.8612823, -35.51945, 0.0110321, -0.07096863, 0.997406, 2.848114, 1
1315808, 140183, truthful, baseline, 33.82037, 0.5201569, -37.92152, -0.01087952, -0.05802917, 0.9982452, 2.581406, 1, -30.45743, -0.8569794, -35.53232, 0.01124573, -0.07040405, 0.9974518, 2.843781, 1
1315825, 140185, truthful, baseline, 33.82004, 0.5183258, -37.91367, -0.01049805, -0.05690002, 0.9983215, 2.606491, 1, -30.45793, -0.8548126, -35.53491, 0.01116943, -0.07067871, 0.9974213, 2.843704, 1
