Timestamp, Truthstatus, questionStatus, Left pupil_Diameter_mm, Right pupil_diameter_mm
1413534, truthful, baseline, 2.725739, 3.507477
1413542, truthful, baseline, 2.732468, 3.505783
1413551, truthful, baseline, 2.73909, 3.507324
1413567, truthful, baseline, 2.736145, 3.503021
1413576, truthful, baseline, 2.736526, 3.479141
1413584, truthful, baseline, 2.736847, 3.455353
1413601, truthful, baseline, 2.736313, 3.453873
1413609, truthful, baseline, 2.725235, 3.449646
1413617, truthful, baseline, 2.712585, 3.436813
1413634, truthful, baseline, 2.675858, 3.429214
1413642, truthful, baseline, 2.667343, 3.428909
1413651, truthful, baseline, 2.663513, 3.428009
1413667, truthful, baseline, 2.654327, 3.427582
1413676, truthful, baseline, 2.653763, 3.423065
1413684, truthful, baseline, 2.645279, 3.42691
1413701, truthful, baseline, 2.63707, 3.405197
1413709, truthful, baseline, 2.639786, 3.39946
1413717, truthful, baseline, 2.640244, 3.391678
1413734, truthful, baseline, 2.623703, 3.372055
1413742, truthful, baseline, 2.621094, 3.371552
1413751, truthful, baseline, 2.616592, 3.360245
1413767, truthful, baseline, 2.613541, 3.361038
1413776, truthful, baseline, 2.613663, 3.35968
1413784, truthful, baseline, 2.605591, 3.359589
1413801, truthful, baseline, 2.605621, 3.349564
1413809, truthful, baseline, 2.605545, 3.349319
1413817, truthful, baseline, 2.605423, 3.349182
1413834, truthful, baseline, 2.603897, 3.349304
1413842, truthful, baseline, 2.596527, 3.337112
1413851, truthful, baseline, 2.590103, 3.332703
1413867, truthful, baseline, 2.600082, 3.328552
1413876, truthful, baseline, 2.593246, 3.328415
1413884, truthful, baseline, 2.557053, 3.324646
1413901, truthful, baseline, 2.657166, 3.333374
1413909, truthful, baseline, 2.550125, 3.383621
1413917, truthful, baseline, 2.631012, 3.335419
1413934, truthful, baseline, 2.633606, 3.21994
1413942, truthful, baseline, 2.600937, 2.860367
1413959, truthful, baseline, -1, -1
1413967, truthful, baseline, -1, -1
1413976, truthful, baseline, -1, -1
1413992, truthful, baseline, -1, -1
1414001, truthful, baseline, -1, -1
1414009, truthful, baseline, -1, -1
1414026, truthful, baseline, -1, -1
1414034, truthful, baseline, -1, -1
1414051, truthful, baseline, -1, -1
1414059, truthful, baseline, -1, -1
1414067, truthful, baseline, -1, -1
1414076, truthful, baseline, -1, -1
1414092, truthful, baseline, -1, -1
1414101, truthful, baseline, -1, -1
1414109, truthful, baseline, -1, -1
1414117, truthful, baseline, -1, -1
1414134, truthful, baseline, -1, -1
1414142, truthful, baseline, 2.548828, 3.250458
1414159, truthful, baseline, 2.49295, 3.173599
1414167, truthful, baseline, 2.580704, 3.19545
1414176, truthful, baseline, 2.549149, 3.061935
1414192, truthful, baseline, 2.64621, 3.067429
1414200, truthful, baseline, 2.565689, 3.07991
1414209, truthful, baseline, 2.576447, 3.187576
1414225, truthful, baseline, 2.541061, 3.207733
1414234, truthful, baseline, 2.529419, 3.249161
1414242, truthful, baseline, 2.573425, 3.340729
1414259, truthful, baseline, 2.540222, 3.198822
1414267, truthful, baseline, 2.562973, 3.196625
1414275, truthful, baseline, 2.569992, 3.237045
1414292, truthful, baseline, 2.569717, 3.308929
1414300, truthful, baseline, 2.563629, 3.388702
1414309, truthful, baseline, 2.570221, 3.346817
1414325, truthful, baseline, 2.556122, 3.344406
1414334, truthful, baseline, 2.522797, 3.308289
1414342, truthful, baseline, 2.562698, 3.310806
1414350, truthful, baseline, 2.556992, 3.313446
1414367, truthful, baseline, 2.56131, 3.313202
1414375, truthful, baseline, 2.582611, 3.322891
1414384, truthful, baseline, 2.544952, 3.31192
1414400, truthful, baseline, 2.595444, 3.320755
1414409, truthful, baseline, 2.588547, 3.316055
1414425, truthful, baseline, 2.50296, 3.308563
1414434, truthful, baseline, 2.508179, 3.310425
1414442, truthful, baseline, 2.525848, 3.309647
1414459, truthful, baseline, 2.511261, 3.318832
1414467, truthful, baseline, 2.507324, 3.316544
1414475, truthful, baseline, 2.503052, 3.315063
1414484, truthful, baseline, 2.493866, 3.313156
