Timestamp, Frame Sequence, Left Eye gaze origin x, Left Eye gaze origin y, Left Eye gaze origin z, Left eye gaze direction normalized x, Left eye gaze direction normalized y, Left eye gaze direction normalized z, left pupil diameter mm, left eye openness, Right Eye gaze origin x, Right Eye gaze origin y, Right Eye gaze origin z, Right eye gaze direction normalized x, Right eye gaze direction normalized y, Right eye gaze direction normalized z, right pupil diameter mm, right eye openness
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
862069, 75312, 32.48645, -0.1984253, -28.97997, -0.04948425, -0.06640625, 0.9965515, 4.08223, 0, -32.22858, -1.988678, -30.77464, 0.02957153, -0.05766296, 0.9978943, 4.146133, 0
864310, 75581, 32.59157, -0.1487122, -29.02742, -0.01438904, -0.04118347, 0.9990387, 2.478714, 1, -32.22214, -1.855225, -30.86302, 0.001098633, -0.03886414, 0.9992371, 2.614914, 1
864319, 75582, 32.58975, -0.147522, -29.02742, -0.01408386, -0.04269409, 0.9989777, 2.492126, 1, -32.22299, -1.855682, -30.86302, 0.0007476807, -0.03875732, 0.9992371, 2.615097, 1
864327, 75583, 32.58844, -0.1474762, -29.02924, -0.01376343, -0.04067993, 0.9990692, 2.478546, 1, -32.22339, -1.85733, -30.86095, -0.0004577637, -0.03848267, 0.9992523, 2.615982, 1
864335, 75584, 32.5874, -0.1473236, -29.02924, -0.01351929, -0.04071045, 0.9990692, 2.472946, 1, -32.22516, -1.860123, -30.85304, -0.0001831055, -0.03843689, 0.9992523, 2.615906, 1
864344, 75585, 32.58667, -0.1469269, -29.02924, -0.01338196, -0.04078674, 0.9990692, 2.47847, 1, -32.22566, -1.860718, -30.85225, 0.001785278, -0.03842163, 0.9992523, 2.614975, 1
864360, 75587, 32.5853, -0.1460876, -29.02948, -0.01312256, -0.04016113, 0.9990997, 2.478806, 1, -32.22647, -1.862534, -30.84418, 0.0005187988, -0.03834534, 0.9992523, 2.615433, 1
864377, 75589, 32.58513, -0.1452484, -29.02924, -0.01348877, -0.04031372, 0.9990845, 2.494659, 1, -32.22879, -1.862534, -30.83922, 0.0009765625, -0.03865051, 0.9992371, 2.616241, 1
864385, 75590, 32.58502, -0.1451263, -29.02858, -0.01347351, -0.04037476, 0.9990845, 2.495773, 1, -32.22897, -1.862534, -30.83922, 0.0007781982, -0.03881836, 0.9992371, 2.615417, 1
864394, 75591, 32.58502, -0.1440887, -29.02924, -0.01313782, -0.04049683, 0.9990845, 2.49556, 1, -32.22984, -1.861801, -30.84096, 0.000289917, -0.03868103, 0.9992371, 2.615585, 1
864410, 75593, 32.58502, -0.1440887, -29.02858, -0.01335144, -0.04057312, 0.9990845, 2.495697, 1, -32.23019, -1.860718, -30.84096, 0.0003662109, -0.03890991, 0.9992371, 2.617447, 1
864419, 75594, 32.58502, -0.1431427, -29.02858, -0.01335144, -0.04055786, 0.9990845, 2.495697, 1, -32.23042, -1.860123, -30.84096, 0.0004425049, -0.03831482, 0.9992523, 2.624695, 1
864427, 75595, 32.58513, -0.1431427, -29.02858, -0.01338196, -0.04055786, 0.9990845, 2.496429, 1, -32.23097, -1.859726, -30.84418, 0.0003051758, -0.03817749, 0.9992676, 2.628036, 1
864444, 75597, 32.58571, -0.1440887, -29.02858, -0.0120697, -0.04031372, 0.9990997, 2.49791, 1, -32.23108, -1.859726, -30.8479, 0.0003509521, -0.03796387, 0.9992676, 2.629501, 1
864452, 75598, 32.5867, -0.1451263, -29.02858, -0.0123291, -0.04023743, 0.9990997, 2.510406, 1, -32.23131, -1.859726, -30.85252, 0.0006866455, -0.03808594, 0.9992676, 2.628021, 1
864460, 75599, 32.58723, -0.1460419, -29.02934, -0.01338196, -0.03987122, 0.9990997, 2.510147, 1, -32.23157, -1.859726, -30.85289, 0.001235962, -0.03834534, 0.9992523, 2.616852, 1
864477, 75601, 32.58804, -0.1524048, -29.02858, -0.01356506, -0.03862, 0.9991608, 2.512512, 1, -32.23195, -1.859726, -30.85789, 0.001342773, -0.03807068, 0.9992676, 2.61676, 1
864485, 75602, 32.58955, -0.1524048, -29.02934, -0.01293945, -0.03857422, 0.9991608, 2.51413, 1, -32.23219, -1.860519, -30.85789, 0.001403809, -0.03770447, 0.9992828, 2.616776, 1
864494, 75603, 32.59007, -0.1534882, -29.02934, -0.01307678, -0.03868103, 0.9991608, 2.521347, 1, -32.23227, -1.860519, -30.85789, 0.00138855, -0.03822327, 0.9992676, 2.613098, 1
864510, 75605, 32.59065, -0.1565094, -29.02934, -0.01319885, -0.03872681, 0.9991608, 2.521255, 1, -32.23245, -1.862839, -30.85344, 0.001983643, -0.03790283, 0.9992676, 2.613434, 1
864519, 75606, 32.59166, -0.1565094, -29.02666, -0.01342773, -0.03785706, 0.9991913, 2.526596, 1, -32.23245, -1.865448, -30.85344, 0.001953125, -0.03800964, 0.9992676, 2.607452, 1
864527, 75607, 32.59166, -0.1565094, -29.02646, -0.01315308, -0.03765869, 0.9991913, 2.526611, 1, -32.23227, -1.865936, -30.85344, 0.002975464, -0.03793335, 0.9992676, 2.613419, 1
