Timestamp, Left pupil_Diameter_mm, Right pupil_diameter_mm
862061, 4.082169, 4.144623
862069, 4.08223, 4.146133
864310, 2.478714, 2.614914
864319, 2.492126, 2.615097
864327, 2.478546, 2.615982
864335, 2.472946, 2.615906
864344, 2.47847, 2.614975
864360, 2.478806, 2.615433
864377, 2.494659, 2.616241
864385, 2.495773, 2.615417
864394, 2.49556, 2.615585
864410, 2.495697, 2.617447
864419, 2.495697, 2.624695
864427, 2.496429, 2.628036
864444, 2.49791, 2.629501
864452, 2.510406, 2.628021
864460, 2.510147, 2.616852
864477, 2.512512, 2.61676
864485, 2.51413, 2.616776
864494, 2.521347, 2.613098
864510, 2.521255, 2.613434
864519, 2.526596, 2.607452
864527, 2.526611, 2.613419
864544, 2.52179, 2.614059
864552, 2.521622, 2.613892
864560, 2.514709, 2.613632
864577, 2.514221, 2.607803
864585, 2.514618, 2.607254
864594, 2.513824, 2.630096
864610, 2.514557, 2.625015
864619, 2.508652, 2.629944
864627, 2.514221, 2.629959
864644, 2.508606, 2.632263
864652, 2.513824, 2.632294
864660, 2.522583, 2.644028
864677, 2.524551, 2.644104
864685, 2.524292, 2.64418
864694, 2.524796, 2.644379
864710, 2.52655, 2.665939
864719, 2.526184, 2.665588
864727, 2.529449, 2.665833
864744, 2.621048, 2.711899
864752, 2.628174, 2.561752
864760, 2.553009, 2.575226
864777, 2.563614, 2.574539
864785, 2.562973, 2.583832
864794, 2.563324, 2.592987
864810, 2.584427, 2.593048
864819, 2.573456, 2.609055
864827, 2.563004, 2.624741
864844, 2.572754, 2.624954
864852, 2.577316, 2.636642
864860, 2.570374, 2.748276
864877, 2.593613, 2.660934
864885, 2.533463, 2.578491
864894, 2.56456, 2.570831
864910, 2.756989, 2.671036
864919, 2.740326, 2.370071
864927, 2.682343, 2.360825
864944, -1, -1
864952, -1, -1
864968, -1, -1
864977, -1, -1
864985, -1, -1
865002, -1, -1
865010, -1, -1
865027, -1, -1
865035, -1, -1
865043, -1, -1
865060, -1, -1
865068, -1, -1
865077, -1, -1
865093, -1, -1
865102, 2.929428, 2.77005
865110, 2.819092, 2.987335
865127, 2.836731, 2.822693
865135, 2.843155, 2.986206
865143, 2.932159, 3.037064
865160, 2.905716, 3.012115
865168, 2.895218, 2.85556
865177, 2.867996, 2.964478
865193, 2.876831, 2.949371
865202, 3.013855, 2.964798
865210, 2.896057, 2.987732
865227, 2.870316, 2.949356
865235, 2.810043, 2.937363
865243, 2.809998, 2.794434
865260, 2.836441, 2.905212
865268, 2.833862, 3.078537
